Resort ID,NameResort
372,schwannerlift-weerberg
373,schwoich
374,seeberg-seewiesen-turnau
375,serles-mieders
376,siebenseelift-wildalpen
377,silvretta-bielerhoehe-partenen
378,simas-lifte-st-peterst-corona
379,simonhoehe-st-urban
380,sonnberglifts-wald-am-schoberpass
381,sonnenberglift-gries-im-sellrain
382,sonnenberglift-milders
383,sonnenlift-praxmar
384,sonntag-stein
385,spechtenseelift-puergg-stainach-puergg
386,spitzeralm-sankt-lorenzen-bei-knittelfeld
387,st-corona-am-wechsel
388,st-hemma-edelschrott
389,st-jakob-im-walde
390,st-kathrein-am-offenegg
391,st-martin-im-tennengebirge
392,st-oswald-kartitsch
393,stadtwaldlift-rottenmann
394,stanzach
395,steinberg-am-rofan
396,stelzen-lohnsburg
397,stoaninger-alm-schoenau-im-muehlkreis
398,stockerfeldlift-moessna-st-nikolai-im-soelktal-soelk
399,stoderzinken-groebming
400,tauchnerfeld-stall
401,teichalm-fladnitz
402,thalgauberg-thalgau
403,tockneralmlift-krakauebene-krakauhintermuehlen-krakau
404,tonnerhuette-muehlen
405,tragoess-sankt-katharein
406,tschardund-nenzing
407,turmkogel-puchenstuben
408,unterberg-pernitz
409,untersberg-groedig
410,vals
411,viehberg-sandl
412,voegelsberg-wattens
413,wachtberglifts-weyregg-am-attersee
414,waldheimhuette-sankt-anna-am-lavantegg
415,waldrastlift-ehenbichl
416,waldskilift-wald-faistenau
417,weinebene-frantschach-sankt-gertraud
418,weissbriach-gitschtal
419,wenigzell
420,wetterstein-lifts-wettersteinbahnen-ehrwald
421,wiesenhofer-miesenbach-bei-birkfeld
422,wiesinger-buehel-wiesing
423,wildentallift
424,wildstaettlift-wattenberg
425,wimmerlifte-purgstall-bei-eggersdorf
426,wunderwiese-puchberg-am-schneeberg
427,zahmer-kaiser-walchsee
428,zederhaus
429,zellenberg-kukmirn
430,zenitzen-winklern
431,zinkenlifte-duerrnberg-hallein
432,zlaim-grundlsee
433,zwoelferhorn-st-gilgen
434,Arosa Lenzerheide
435,St. Moritz – Corviglia
436,Laax/Flims/Falera
437,Zermatt/Breuil-Cervinia/Valtournenche – Matterhorn
438, Aletsch Arena – Riederalp/Bettmeralp/Fiesch Eggishorn
439,Andermatt/Oberalp/Sedrun
440,Adelboden/Lenk – Chuenisbärgli/Silleren/Hahnenmoos/Metsch
441, Scuol – Motta Naluns
442,Titlis – Engelberg
443,4 Vallées – Verbier/La Tzoumaz/Nendaz/Veysonnaz/Thyon
444,Les Portes du Soleil – Morzine/Avoriaz/Les Gets/Châtel/Morgins/Champéry
445,Flumserberg
446,Obersaxen/Mundaun/Val Lumnezia
447,Jakobshorn (Davos Klosters)
448,Kleine Scheidegg/Männlichen – Grindelwald/Wengen
449,Parsenn (Davos Klosters)
450,Corvatsch/Furtschellas
451, First – Grindelwald
452, Saas-Fee
453,. Rinderberg/Saanerslochgrat/Horneggli – Zweisimmen/Saanenmöser/Schönried/St. Stephan
454, Stoos – Fronalpstock/Klingenstock
455,. Hohsaas – Saas-Grund
456, Pizol – Bad Ragaz/Wangs
457, Hoch-Ybrig – Unteriberg/Oberiberg
458,Lauchernalp – Lötschental
459, Meiringen-Hasliberg
460, Brigels/Waltensburg/Andiast
461,grimentzzinal
462, Elm im Sernftal
463, Madrisa (Davos Klosters)
464,Disentis
465, Crans-Montana
466,Schilthorn – Mürren/Lauterbrunnen
467,. Zuoz – Pizzet/Albanas
468, Grüsch Danusa
469,Gemsstock – Andermatt
470,Diavolezza/Lagalb
471,. Savognin
472,. Rinerhorn (Davos Klosters)
473, Splügen – Tambo
474, Bellwald
475,villarsgryonles-diablerets
476,egglila-videmanette-gstaadsaanenrougemont
477,belalp-blatten
478,. Grächen
479,anzere
480, Bürchen/Törbel – Moosalp
481,toggenburg-wildhausunterwasseralt-st-johann
482,soerenberg-rothorndorf
483,saint-lucchandolin-anniviers
484,betelberg-lenk
485, Vals 3000 – Dachberg
486,vercorin
487,ovronnaz
488,melchsee-frutt-kerns
489,leysin
490,les-marecottes-salvan
491,charmey
