Resort ID,Resort Name,Continent,Country,State/Province
249,hochkeil-am-hochkoenig,Europe,Austria,Salzburg (Salzburger Land)
250,hochlecken-neukirchen-altmuenster,Europe,Austria,Upper Austria (Oberosterreich)
251,hochlitten-riefensberg,Europe,Austria,Vorarlberg
252,hochmoos-leutasch,Europe,Austria,Tyrol (Tirol)
253,hochplett-oberaschau,Europe,Austria,Upper Austria (Oberosterreich)
254,hochrindl-sirnitz,Europe,Austria,Carinthia (Karnten)
255,hochwechsellifts-moenichwald,Europe,Austria,Styria (Steiermark)
256,hohentauern,Europe,Austria,Styria (Steiermark)
257,hohenzellerstrasse-ried-im-innkreis,Europe,Austria,Upper Austria (Oberosterreich)
258,hoislifts-modriach-edelschrott,Europe,Austria,Styria (Steiermark)
259,holzmeisterlifts-sommeralm-st-kathrein-am-offenegg,Europe,Austria,Styria (Steiermark)
260,hotz-oberweng-spital-am-pyhrn,Europe,Austria,Upper Austria (Oberosterreich)
261,hrastlift-feistritz-an-der-gail,Europe,Austria,Carinthia (Karnten)
262,huettegglift-weerberg,Europe,Austria,Tyrol (Tirol)
263,huetten-bizau,Europe,Austria,Vorarlberg
264,jauerling-maria-laach-am-jauerling,Europe,Austria,Lower Austria (Niederosterreich)
265,johnsbach-admont,Europe,Austria,Styria (Steiermark)
266,josefsberg-mitterbach-am-erlaufsee,Europe,Austria,Lower Austria (Niederosterreich)
267,kaiserau-admont,Europe,Austria,Styria (Steiermark)
268,kaiserlindenlift-gams-bei-hieflau,Europe,Austria,Styria (Steiermark)
269,kaisers,Europe,Austria,Tyrol (Tirol)
270,karlift-heiterwang,Europe,Austria,Tyrol (Tirol)
271,katschwald-obdach,Europe,Austria,Styria (Steiermark)
272,kesselmannlifte-faistenau,Europe,Austria,Salzburg (Salzburger Land)
273,kienleitenlift-brandenberg,Europe,Austria,Tyrol (Tirol)
274,kinzenberg-taiskirchen-im-innkreis,Europe,Austria,Upper Austria (Oberosterreich)
275,kirchbach-rappottenstein,Europe,Austria,Lower Austria (Niederosterreich)
276,kirchdorf,Europe,Austria,Tyrol (Tirol)
